iter	RMSE
0	0.08413968796
1	0.08247431202
2	0.0809239339
3	0.0794281646
4	0.07801304264
5	0.07661678999
6	0.07531030827
7	0.07403047931
8	0.07275971659
9	0.07160616079
10	0.07051455606
11	0.06943525172
12	0.06840225598
13	0.06743265114
14	0.06649576621
15	0.06558151014
16	0.06470391706
17	0.06389295189
18	0.06309840866
19	0.06230095619
20	0.06156238215
21	0.0608449019
22	0.06014291419
23	0.0595146566
24	0.05886733704
25	0.05831546554
26	0.05773369416
27	0.05722091256
28	0.05670706035
29	0.0562031344
30	0.05577985085
31	0.05533777707
32	0.0548758762
33	0.0544715971
34	0.05406292152
35	0.05371131209
36	0.05337588896
37	0.05305373643
38	0.05272705887
39	0.05244410207
40	0.05217520133
41	0.05187468426
42	0.05157186524
43	0.05130855747
44	0.05109448171
45	0.05084556353
46	0.05060807066
47	0.05039895414
48	0.05019053199
49	0.05000647834
50	0.04980179153
51	0.04962771357
52	0.0494515428
53	0.04930496542
54	0.04914328201
55	0.04899211334
56	0.04886781668
57	0.04875750678
58	0.04860615801
59	0.04847856845
60	0.04832122736
61	0.04820151599
62	0.04806597473
63	0.04795764858
64	0.04786919154
65	0.04778016688
66	0.04767604953
67	0.04759712819
68	0.04751747747
69	0.04744902565
70	0.04737031505
71	0.04729339319
72	0.04720486091
73	0.04715048411
74	0.04707200304
75	0.04700587352
76	0.04692481925
77	0.04687409278
78	0.04682569296
79	0.04675332475
80	0.04668292823
81	0.04663050796
82	0.04658130137
83	0.04654041534
84	0.04648432191
85	0.04642944367
86	0.04638181253
87	0.04631487758
88	0.04627770712
89	0.04622445509
90	0.04617463054
91	0.04613218775
92	0.04610007039
93	0.04605568273
94	0.04600180993
95	0.04595404641
96	0.04593585536
97	0.04589284506
98	0.04585503707
99	0.04582631715
100	0.04579013677
101	0.0457584756
102	0.04572527609
103	0.04569954534
104	0.04568135314
105	0.04565127753
106	0.04559999823
107	0.04557464173
108	0.04554798757
109	0.04552591191
110	0.04550687084
111	0.04548619492
112	0.04546009045
113	0.04543037706
114	0.04540198048
115	0.04537509852
116	0.04534923145
117	0.04532503183
118	0.04529801355
119	0.0452784876
120	0.04526122482
121	0.04524094026
122	0.0452165859
123	0.04519566101
124	0.04517690489
125	0.04515853839
126	0.04514623042
127	0.04512738826
128	0.04511616214
129	0.04509085664
130	0.04506758534
131	0.04504384357
132	0.04503199606
133	0.04500539596
134	0.04497522946
135	0.04495200464
136	0.04492355694
137	0.04490518747
138	0.04488672326
139	0.04486773125
140	0.04485085052
141	0.04483442342
142	0.04481898561
143	0.04479610602
144	0.04477988774
145	0.04477019491
146	0.0447489407
147	0.04471893976
148	0.04468734285
149	0.04467873971
150	0.04466049226
151	0.04464035537
152	0.04462194027
153	0.04460993832
154	0.04459637704
155	0.0445778356
156	0.04457089866
157	0.04455977311
158	0.04454196802
159	0.04453658606
160	0.04452418153
161	0.04449901554
162	0.04448871683
163	0.04446843693
164	0.04445308817
165	0.04444187551
166	0.04441556213
167	0.04438761107
168	0.04437456865
169	0.04435510091
170	0.04433396876
171	0.0443145975
172	0.04429877905
173	0.04428198723
174	0.0442651765
175	0.04424855153
176	0.04423446068
177	0.04422105555
178	0.04420307125
179	0.04419726387
180	0.04418278626
181	0.04416386665
182	0.04415093767
183	0.04414172472
184	0.0441210097
185	0.04410743403
186	0.04409030649
187	0.04406821055
188	0.04405350665
189	0.04404547827
190	0.04402904468
191	0.04402088629
192	0.04401558645
193	0.04399468339
194	0.04398678393
195	0.0439738912
196	0.04395710264
197	0.04394314635
198	0.04393228659
199	0.04392634489
200	0.04392033663
201	0.04391382135
202	0.04390810961
203	0.04389486901
204	0.04388416049
205	0.04386531454
206	0.04385387673
207	0.0438379104
208	0.04382873752
209	0.04381410456
210	0.04380189935
211	0.04379201155
212	0.04378476551
213	0.04377541654
214	0.04376437366
215	0.04375912631
216	0.04374563725
217	0.04373041135
218	0.04372116235
219	0.04371222421
220	0.04370450468
221	0.04369277231
222	0.04368237179
223	0.04367670528
224	0.04366824385
225	0.04365497591
226	0.04365034183
227	0.04364025388
228	0.04362906918
229	0.04361857348
230	0.04360786515
231	0.0435957964
232	0.04358577238
233	0.04357762795
234	0.04356989339
235	0.04355026621
236	0.04352881773
237	0.04351933536
238	0.04350848376
239	0.04349977804
240	0.04349235563
241	0.0434792702
242	0.04346472498
243	0.04345430836
244	0.04344438725
245	0.04343707544
246	0.04343088079
247	0.0434267576
248	0.04341900671
249	0.04339473903
250	0.04338958929
251	0.04338008831
252	0.04336773228
253	0.04334638132
254	0.04333055588
255	0.04330754824
256	0.04329731364
257	0.04328260614
258	0.04327436789
259	0.04326793916
260	0.04326404631
261	0.04325546709
262	0.04324061049
263	0.04322955879
264	0.04321085701
265	0.04319506341
266	0.0431863813
267	0.04318022342
268	0.04316977564
269	0.04315507353
270	0.04314734779
271	0.04313485483
272	0.04312507998
273	0.04310354302
274	0.04308933807
275	0.04308421467
276	0.04307719826
277	0.04306610561
278	0.04305526573
279	0.04304675359
280	0.04304148484
281	0.04303580836
282	0.0430223879
283	0.04300740335
284	0.04300429881
285	0.04299794408
286	0.04298641054
287	0.04297883412
288	0.04297187131
289	0.04296261869
290	0.04296197559
291	0.04295935484
292	0.0429441953
293	0.04294284151
294	0.04293252689
295	0.04291558172
296	0.04290918333
297	0.04289910187
298	0.04289513452
299	0.04287841001
300	0.04287707306
301	0.04286287452
302	0.04286003132
303	0.04285814276
304	0.04284715581
305	0.04283710782
306	0.04282112964
307	0.04280609845
308	0.04280228223
309	0.04279869704
310	0.04278823827
311	0.04277963392
312	0.04276727683
313	0.04275859982
314	0.04274999645
315	0.04273290301
316	0.04272666182
317	0.04271332443
318	0.04270370894
319	0.04269750018
320	0.04268790878
321	0.04267143899
322	0.04267099408
323	0.04266459527
324	0.04265119104
325	0.04264113584
326	0.04262547704
327	0.0426039068
328	0.04260359211
329	0.0425871707
330	0.04258254438
331	0.04257404931
332	0.042566907
